,created_utc,id,author,num_comments,month,Ratio_Of_Gaps,Number_of_Gaps,Sentiment_Of_Post,Sentiment_Of_Comments,Score_Of_Comments,Score
160,2018-04-08 15:06:34,8aqhlf,lucellent,10,4,2.0,6,-0.7579,1.0,positive,Low
161,2018-04-08 19:42:52,8asfer,minicrops1,3,4,0.0,0,0.0,1.0,positive,Low
162,2018-04-10 04:58:03,8b54qa,MikeRaven11,1,4,0.0,0,-0.4313,0.0,neutral,Low
163,2018-04-10 20:23:09,8bb11m,B4K5c7N,47,4,0.6666666666666666,5,0.5632,2.0,highly_positive,High
164,2018-04-11 11:06:23,8bg7kp,diego-d,5,4,1.0,2,0.0,0.0,positive,Low
165,2018-04-11 21:33:22,8bktkp,DixiePixies,4,4,1.0,2,-0.5006,0.0,neutral,High
166,2018-04-12 03:03:55,8bn1w2,heartscrew,10,4,0.0,2,0.7902,2.0,positive,Low
167,2018-04-12 20:07:27,8bt7um,SmileGuyMD,1,4,3.0,4,0.1901,0.0,neutral,Low
168,2018-04-13 11:40:51,8byhne,jdrodrig,0,4,1.0,8,0.5787,0.0,neutral,Low
169,2018-04-13 19:38:11,8c1yns,KumquatJuice45,1,4,0.0,2,0.8047,0.0,neutral,Low
170,2018-04-14 16:59:38,8c8tbo,ppaco1,3,4,6.0,7,-0.6595,0.0,neutral,Low
171,2018-04-14 18:20:56,8c9dl0,jdrodrig,0,4,1.0,8,0.8885,0.0,neutral,neutral
172,2018-04-15 00:05:28,8cbkuf,Avro_4rrow,3,4,0.0,0,0.8217,1.0,positive,Low
173,2018-04-15 16:32:38,8cg9p6,lucellent,0,4,2.0,6,0.9134,0.0,neutral,Low
174,2018-04-16 17:13:22,8cp6jg,SmoothRunnings,1,4,1.0,4,0.4404,0.0,neutral,Low
175,2018-04-16 17:41:03,8cpepj,thinksinc,2,4,0.0,2,0.3182,0.0,neutral,Low
176,2018-04-16 17:42:44,8cpf6v,B4K5c7N,8,4,0.6666666666666666,5,0.9794,0.0,neutral,Low
177,2018-04-16 21:34:51,8cr9a7,Mathcmput,4,4,0.0,1,-0.9413,0.0,neutral,Low
178,2018-04-17 14:31:36,8cwycb,Share-ty,6,4,0.0,0,0.0,0.0,neutral,Low
179,2018-04-17 20:11:24,8czmy8,tunkor,5,4,0.42857142857142855,10,-0.3987,0.0,neutral,Low
180,2018-04-18 04:05:38,8d2u4e,ppaco1,3,4,6.0,7,0.4767,1.0,positive,Low
181,2018-04-18 15:16:21,8d6e72,B4K5c7N,7,4,0.6666666666666666,5,0.1926,0.0,neutral,Low
182,2018-04-18 17:29:49,8d7h0x,samtherat6,1,4,0.0,2,0.6199,0.0,neutral,Low
183,2018-04-18 17:38:42,8d7jlw,DistantOrigin0,10,4,0.0,1,-0.6956,0.0,neutral,High
184,2018-04-18 22:56:21,8d9zb6,Arcticblew,49,4,0.0,2,0.4019,0.0,positive,High
185,2018-04-19 09:04:57,8dda4s,smokestack55,3,4,0.0,0,0.9123,1.0,positive,Low
186,2018-04-19 13:24:23,8delnp,lucellent,8,4,2.0,6,0.1027,0.0,neutral,Low
187,2018-04-19 15:05:53,8dfbke,DFGBOY,11,4,1.0,4,-0.0752,0.0,neutral,Low
188,2018-04-19 17:58:21,8dgo4x,jdrch,5,4,0.25,5,0.8313,1.0,positive,Low
189,2018-04-21 19:25:49,8dxyxp,kimahri27,8,4,0.0,0,0.6084,0.0,neutral,neutral
190,2018-04-21 21:52:59,8dywsm,shubz1998,2,4,0.0,2,0.3506,0.0,neutral,Low
191,2018-04-22 01:32:25,8e06hr,fretit,10,4,0.6666666666666666,5,0.0,0.0,neutral,Low
192,2018-04-22 17:12:38,8e4me3,pokexpert30,11,4,18.0,19,-0.5471,0.0,neutral,Low
193,2018-04-23 01:58:04,8e8029,txr1018,5,4,1.0,2,0.7225,1.0,positive,Low
194,2018-04-24 17:41:58,8emc3n,SmileGuyMD,1,4,3.0,4,-0.504,1.0,positive,Low
195,2018-04-24 20:59:28,8enwzp,ppaco1,0,4,6.0,7,-0.6808,0.0,neutral,Low
196,2018-04-25 20:10:34,8ewo2a,vsn611,7,4,0.0,2,0.6369,0.0,neutral,High
197,2018-04-25 20:30:34,8ewtn4,l3n0x,0,4,0.0,0,0.7204,0.0,neutral,Low
198,2018-04-26 16:03:48,8f3sot,younsomoom,0,4,1.375,19,0.9784,0.0,neutral,Low
199,2018-04-26 22:47:01,8f6vyl,patrick_carlson_,12,4,1.0,1,0.2255,2.0,positive,Low
200,2018-04-27 00:49:38,8f7owf,ppaco1,8,4,6.0,7,0.6249,1.0,positive,Low
201,2018-04-27 12:58:54,8fbfph,pokexpert30,5,4,18.0,19,-0.4147,0.0,neutral,High
202,2018-04-28 08:04:25,8fik99,thinksinc,16,4,0.0,2,0.8095,0.0,neutral,High
203,2018-04-30 03:59:43,8fwspr,jdrch,3,4,0.25,5,-0.1441,0.0,neutral,Low
204,2018-05-01 07:31:26,8g6nnd,somerider159,16,5,0.3333333333333333,4,-0.3964,1.0,neutral,Low
205,2018-05-01 10:51:39,8g7jif,AutoModerator,9,5,0.0,8,0.9611,0.0,neutral,Low
206,2018-05-02 18:06:35,8gjidp,pokexpert30,37,5,18.0,19,-0.2263,0.0,positive,High
207,2018-05-03 08:42:49,8gowca,DFGBOY,11,5,1.0,4,0.0,0.0,neutral,Low
208,2018-05-03 12:40:12,8gq1x6,djjuice,10,5,1.5,5,0.0,0.0,neutral,High
209,2018-05-05 12:11:53,8h758o,RHS_Salamis,2,5,0.0,1,0.8131,0.0,neutral,Low
210,2018-05-05 23:24:58,8hb9i6,abefaxe,2,5,0.0,0,0.0,0.0,neutral,neutral
211,2018-05-06 09:40:24,8he7ah,DFGBOY,7,5,1.0,4,0.7558,1.0,positive,High
212,2018-05-06 15:14:35,8hftke,patrick_carlson_,21,5,1.0,1,-0.3736,1.0,highly_positive,Low
213,2018-05-06 20:32:16,8hi1nl,JawnSnuuu,3,5,0.0,1,0.34,0.0,positive,Low
214,2018-05-07 03:49:31,8hkpgw,ppaco1,4,5,6.0,7,-0.4404,1.0,positive,Low
215,2018-05-08 06:43:08,8hunjs,xeneral,5,5,2.0,3,0.8053,0.0,positive,Low
216,2018-05-08 06:47:12,8huo8i,Arcticblew,3,5,0.0,2,0.3182,1.0,positive,Low
217,2018-05-08 13:50:17,8hwtpk,nardorf_,13,5,0.0,0,0.4696,0.0,neutral,neutral
218,2018-05-08 16:08:45,8hxw5i,tunkor,15,5,0.42857142857142855,10,0.4767,3.0,positive,High
219,2018-05-08 22:03:06,8i0qqd,KumquatJuice45,0,5,0.0,2,0.1999,0.0,neutral,Low
220,2018-05-09 04:02:24,8i32yy,FateWrecks,1,5,0.5,6,0.6369,0.0,neutral,Low
221,2018-05-09 07:07:20,8i4053,pokexpert30,0,5,18.0,19,0.2023,0.0,neutral,Low
222,2018-05-09 11:15:28,8i5587,tunkor,6,5,0.42857142857142855,10,-0.8261,1.0,positive,Low
223,2018-05-09 22:38:50,8ia54h,pokexpert30,40,5,18.0,19,0.6369,0.0,neutral,High
224,2018-05-10 17:45:34,8igqxf,joeker9787,18,5,0.5,3,-0.3796,1.0,positive,Low
225,2018-05-11 03:35:18,8iksr0,txr1018,2,5,1.0,2,0.7531,0.0,neutral,Low
226,2018-05-11 05:15:33,8ilbzg,djjuice,6,5,1.5,5,-0.8748,0.0,neutral,neutral
227,2018-05-12 03:08:47,8itdsa,rjivani,2,5,0.0,2,0.8689,0.0,neutral,Low
228,2018-05-12 12:19:04,8ivo6z,txr1018,5,5,1.0,2,0.431,0.0,neutral,High
229,2018-05-12 18:53:00,8iy366,pokexpert30,11,5,18.0,19,0.9542,0.0,neutral,Low
230,2018-05-12 19:30:32,8iybzc,kaitlyn2004,13,5,0.6666666666666666,10,0.6622,0.5,positive,High
231,2018-05-13 11:37:47,8j3882,pokexpert30,3,5,18.0,19,-0.6996,0.0,positive,Low
232,2018-05-13 14:56:42,8j4bdc,younsomoom,1,5,1.375,19,-0.8059,0.0,neutral,Low
233,2018-05-14 04:33:57,8j9njf,mudkipfreak,8,5,1.0,1,0.2755,0.0,neutral,Low
234,2018-05-14 06:41:05,8ja8sj,GeorgeKaplan04,6,5,0.0,2,-0.008,0.0,positive,Low
235,2018-05-14 09:40:10,8jazlj,DFGBOY,5,5,1.0,4,-0.128,0.0,neutral,Low
236,2018-05-14 12:59:41,8jc114,technocrat_13,10,5,0.0,1,0.5913,0.0,neutral,neutral
237,2018-05-15 08:01:55,8jjvi5,younsomoom,7,5,1.375,19,0.3182,0.0,neutral,neutral
238,2018-05-16 13:48:46,8jv1nw,pokexpert30,4,5,18.0,19,-0.3506,0.0,neutral,Low
239,2018-05-16 18:18:51,8jx7aw,pokexpert30,10,5,18.0,19,-0.4767,0.0,neutral,High
240,2018-05-16 19:28:40,8jxr3g,jordakoes,0,5,0.0,2,-0.3291,0.0,neutral,Low
241,2018-05-16 22:20:35,8jz2co,robin994,3,5,0.0,1,-0.4696,0.0,neutral,Low
242,2018-05-17 01:21:23,8k09g9,fredih1,2,5,0.0,0,-0.0258,0.0,positive,Low
243,2018-05-17 03:16:19,8k0zgu,lbaile200,9,5,0.0,1,-0.3218,0.0,neutral,Low
244,2018-05-17 14:07:05,8k4ig5,fraggletalks,16,5,0.0,2,0.9775,0.0,neutral,High
245,2018-05-17 23:08:16,8k8m53,FateWrecks,4,5,0.5,6,0.079,0.0,neutral,Low
246,2018-05-18 10:06:50,8kc14y,pokexpert30,4,5,18.0,19,0.6992,0.0,neutral,High
247,2018-05-19 22:46:07,8kopt4,A4orce84,3,5,0.25,5,0.3207,1.0,positive,Low
248,2018-05-20 08:11:20,8krddp,KeyWalnut,10,5,8.0,9,0.6369,0.0,neutral,Low
